#,target,auid,jd,mag,uncertainty,fainterthan,band,type,observer,airmass,transformed
232,RZ CEP,000-BDC-590,2458773.289051,9.4529,0.0118,False,Johnson V,CCD,SJTS,,
233,RZ CEP,000-BDC-590,2458773.28919,9.4588,0.0119,False,Johnson V,CCD,SJTS,,
234,RZ CEP,000-BDC-590,2458773.289329,9.4589,0.0118,False,Johnson V,CCD,SJTS,,
235,RZ CEP,000-BDC-590,2458773.289468,9.4754,0.012,False,Johnson V,CCD,SJTS,,
236,RZ CEP,000-BDC-590,2458773.289606,9.4439,0.0119,False,Johnson V,CCD,SJTS,,
237,RZ CEP,000-BDC-590,2458773.289745,9.4326,0.0118,False,Johnson V,CCD,SJTS,,
238,RZ CEP,000-BDC-590,2458773.289873,9.4528,0.0119,False,Johnson V,CCD,SJTS,,
239,RZ CEP,000-BDC-590,2458773.290012,9.4567,0.0118,False,Johnson V,CCD,SJTS,,
240,RZ CEP,000-BDC-590,2458773.29015,9.438,0.0119,False,Johnson V,CCD,SJTS,,
241,RZ CEP,000-BDC-590,2458773.290289,9.4354,0.0119,False,Johnson V,CCD,SJTS,,
242,RZ CEP,000-BDC-590,2458773.290428,9.4551,0.0119,False,Johnson V,CCD,SJTS,,
243,RZ CEP,000-BDC-590,2458773.290556,9.4309,0.012,False,Johnson V,CCD,SJTS,,
244,RZ CEP,000-BDC-590,2458773.290694,9.4507,0.0118,False,Johnson V,CCD,SJTS,,
245,RZ CEP,000-BDC-590,2458773.290833,9.4704,0.0117,False,Johnson V,CCD,SJTS,,
246,RZ CEP,000-BDC-590,2458773.290972,9.4275,0.0119,False,Johnson V,CCD,SJTS,,
247,RZ CEP,000-BDC-590,2458773.291111,9.4484,0.0117,False,Johnson V,CCD,SJTS,,
248,RZ CEP,000-BDC-590,2458773.29125,9.4516,0.0119,False,Johnson V,CCD,SJTS,,
249,RZ CEP,000-BDC-590,2458773.291377,9.4252,0.0118,False,Johnson V,CCD,SJTS,,
250,RZ CEP,000-BDC-590,2458773.291516,9.4412,0.0119,False,Johnson V,CCD,SJTS,,
251,RZ CEP,000-BDC-590,2458773.291794,9.4299,0.0119,False,Johnson V,CCD,SJTS,,
252,RZ CEP,000-BDC-590,2458773.291921,9.4286,0.0119,False,Johnson V,CCD,SJTS,,
253,RZ CEP,000-BDC-590,2458773.29206,9.4206,0.0118,False,Johnson V,CCD,SJTS,,
254,RZ CEP,000-BDC-590,2458773.292199,9.4389,0.0117,False,Johnson V,CCD,SJTS,,
255,RZ CEP,000-BDC-590,2458773.292338,9.4229,0.0118,False,Johnson V,CCD,SJTS,,
256,RZ CEP,000-BDC-590,2458773.292477,9.4278,0.0118,False,Johnson V,CCD,SJTS,,
257,RZ CEP,000-BDC-590,2458773.292616,9.433,0.0118,False,Johnson V,CCD,SJTS,,
258,RZ CEP,000-BDC-590,2458773.292743,9.3991,0.0117,False,Johnson V,CCD,SJTS,,
