main_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,best_classification,period
4299563705588494848,301.6525967779066,9.49782193510929,11.766897,11.976237,11.377335,RRc,0.32965687757277234
2254942462734092288,289.5859605514766,66.41345137414254,11.267605,11.521597,10.834677,RRab,0.592075294899982
1428577526482052096,244.12806751431575,54.38951269176222,11.461228,11.577843,11.22875,RRc,0.3061400636163747
1431291700999242112,248.8816305324219,57.8397263171271,11.690732,11.831139,11.311432,RRab,0.44290661863852154
3631453505137203968,201.19997322863577,-6.979410470906253,11.587174,11.709343,11.303931,RRc,0.3432291051132582
3631923889955509632,202.34336098692228,-5.883137990908332,11.700241,11.867988,11.313661,RRab,0.5763177560715865
2642479663953557888,358.5338780066777,0.9635484037432215,10.509451,10.673768,10.204584,RRc,0.30625757800130277
4539434124372063744,280.3164322529899,28.722525910687015,11.296664,11.609428,10.792535,RRab,0.4113825525785479
1058066262817534336,174.48532961608134,67.32939275491853,9.784324,10.0051365,9.382648,RRab,0.6604172387792158
1063808840251264128,146.73600089516324,63.69545921720063,10.932412,11.09493,10.629117,RRc,0.2984990800263756
2298500509220140288,308.14038942779644,82.25601090967214,11.613245,11.859788,11.159846,RRc,0.32827517021042213
1925406252226143104,355.6284047082072,43.014123044640996,10.550851,10.865552,10.059558,RRab,0.616902905790055
1398766021041835648,240.1339043648835,46.92389641937951,11.424224,11.573574,11.001306,RRab,0.4699979494860739
1031239725288354176,131.30092012335814,56.607406347791624,11.033956,11.287445,10.5706215,RRab,0.5428357072122969
1036978866747819264,132.81123899140977,56.35528814097742,11.298995,11.463405,10.947261,RRc,0.3452602307862074
603291108060958848,128.22973392229116,13.191092085641706,11.297774,11.515824,10.820442,RRab,0.5634503304881865
363101693459636608,14.013985483766772,35.5659734267538,11.489735,11.666627,11.12393,RRc,0.42873492127922713
4410058473777585024,240.9243006714196,0.5991270878097505,11.4899435,11.71142,10.95964,RRab,0.487567521540895
926760213407334656,116.57435126952744,44.40494475818129,11.263041,11.408413,10.9311,RRc,0.3396404250538013
538832101445230720,13.650056294841049,74.5281840731972,10.294825,10.668254,9.7473955,RRab,0.6495958264675622
1338388092349825280,258.2665802198266,35.978536706914504,11.649742,11.879313,11.262378,RRab,0.4403407894976544
1342550327976368896,264.6557917915091,37.89897487832862,10.444302,10.584459,10.1897955,RRc,0.272666806876849
2852346261548304896,355.56802260949337,24.916089983070954,11.832175,11.942545,11.55899,RRc,0.3064886402474648
2857456211775108480,5.9295062674226635,29.40092334447239,9.705101,9.967881,9.315174,RRab,0.4422632279519936
4465697399976758528,246.46256103313186,15.74611891080782,11.737296,11.947707,11.305941,RRab,0.44240005198272375
4467433017738606080,247.6697715677847,18.366914563547137,10.834998,11.063563,10.405408,RRab,0.4553577887127162
666167814367063296,130.1616589243091,23.26389800051391,11.6852045,11.817392,11.399088,RRc,0.29577739706872114
668027908865948032,115.81509779815497,17.090847661260003,11.697312,11.84567,11.444207,RRc,0.2715286809833625
670266862434827776,118.43102076628455,19.273189248459833,11.795735,11.943896,11.371305,RRab,0.5011329570108634
2269585754295172608,273.5791191948796,76.685797344704,11.491016,11.769548,11.031784,RRab,0.7195804671600183
1374971558625266432,232.66336598431212,35.7844805967207,11.073679,11.285321,10.661446,RRab,0.6223132451249176
1384578163514741760,238.74396924348167,42.76947164490288,11.133357,11.249992,10.87126,RRc,0.3171800179350679
1385661079389302400,245.01693759682422,45.2167093534883,9.15353,9.32358,8.842071,RRc,0.49182216569514464
1677592858356166528,199.79507492232327,63.591599708124114,10.805418,11.032764,10.387651,RRab,0.8072640950958395
1683444631038133248,184.44394378045797,69.51058815782476,10.488967,10.77413,10.109305,RRab,0.5696724495477525
1686384274158206208,195.8793674506837,71.11217698308027,10.282076,10.451302,9.933439,RRc,0.33297980965982327
837077516695165824,161.4824263611533,52.247290063578156,11.251728,11.366275,10.966215,RRc,0.3493591635983703
609425214712107776,129.9467823009681,14.290054352081894,11.703223,11.85726,11.415042,RRc,0.2609288298729956
3820770647022977920,146.41975827746546,-6.733460884206648,10.758087,10.915061,10.4594145,RRc,0.3502316229093082
1546016672688675200,182.81067834805881,47.82875800196694,10.817328,11.056364,10.396243,RRab,0.5995815635250875
1133454140138001664,174.0459344565476,81.29328425643389,9.486984,9.727502,9.083161,RRab,0.6214454925771339
1134921885080388992,119.7453161668388,72.78753315108315,11.487339,11.603353,11.255905,RRc,0.26704249733062263
114797397716085120,41.6782394441103,26.72434338536452,11.424756,11.719393,10.926316,RRab,0.7693119899262529
115744253324806528,45.814750410226765,27.278027070255433,11.535808,11.739516,11.064949,RRc,0.3282890552315725
2000976545403561984,334.8780402772053,51.47077684201528,11.628986,11.898527,11.158026,RRab,0.4321263619226688
1286188056265485952,218.38841468857987,31.75461245140624,10.515594,10.749676,10.141544,RRab,0.3773435406505344
3772752878294096384,153.38239265346212,-7.038163512425365,10.950912,11.114087,10.637299,RRc,0.31360733232300153
3114440838290852864,107.70347983858667,1.2822129572471257,11.710704,11.920951,11.3478,RRc,0.37857515511900447
856816808430505856,164.53103599754138,56.11906579931455,11.294126,11.508359,10.875642,RRab,0.627306721280143
1450026386999707264,202.42550470808914,28.88017691367649,11.751857,11.915217,11.426365,RRc,0.4250052401238958
1453674738379109760,209.39182465398366,29.857924886879957,11.347547,11.4893465,11.029344,RRc,0.32903015002408625
1458363365199561088,206.2622880768263,32.654641736329964,11.619468,11.783472,11.2028,RRab,0.5674234935419348
1009665142487836032,135.781920123629,44.585400063429624,9.853911,10.12058,9.420722,RRab,0.5974431312604158
1483653713185923072,211.6164824611361,37.828106481864815,10.551136,10.804464,10.147925,RRab,0.5517562839113127
2828497068363486720,343.25420796443825,15.787664627676227,10.395215,10.695779,9.94578,RRab,0.6409719846467077
1617474895444390400,222.93601859178972,60.06902781106285,11.652442,11.833932,11.228501,RRab,0.5886645546923096
2022835523801236864,291.9833743994188,24.34719332733941,10.807519,11.346142,10.111576,RRab,0.5941340326661948
1738795523849120768,319.66365656711616,6.204320387225291,11.219834,11.363482,10.881831,RRc,0.2914443968793166
3677686044939929728,193.79365579908344,-5.459078083014313,11.424825,11.625693,11.005992,RRab,0.5257740089731356
630421935431871232,151.93101079342685,23.991710403537397,10.829473,11.044354,10.4337635,RRab,0.4524054291366671
3720468832650308352,207.91972053533058,6.430925698946876,11.255795,11.385054,10.963778,RRab,0.4711082537786687
3727833391597367424,209.69308079142908,12.951586359270129,10.996892,11.218989,10.577158,RRab,0.6507536834394615
3731723090075245696,200.04819969340105,9.187725579160595,11.764955,11.97401,11.333155,RRab,0.6569048740353376
3155209767375425024,109.89245196891484,8.74033557745246,11.301037,11.355692,11.145649,RRab,0.6039009770899525
4593112037219674368,275.6582107018232,32.95920518119228,11.81008,11.994184,11.338797,RRab,0.5771463596858374
1793460115244988800,328.0117123574372,22.574789071413147,10.531158,10.798606,10.118914,RRab,0.39038253398137956
1797739517580809856,325.3199259268198,24.773448810483416,11.147496,11.425752,10.721772,RRab,0.46714350836473584
